( ͡° ͜ʖ ͡°):  lenny basic 1
ᕙ( ͡° ͜ʖ ͡°)ᕗ:  lenny happy 3
ᕦ( ͡͡~͜ʖ ͡° )ᕤ:  lenny happy 4
( ͡° ͜ʖ├┬┴┬:  lenny hide 1
( ͡° ͜ʖ├┬┴┬:  lenny hide 2
┬┴┬┴┤⌐▀͡ ̯ʖ▀):  lenny hide 3
┬┴┬┴┤ ° ͜ʖ °):  lenny hide 4
┴┬┴┤( ͡° ͜ʖ├┬┴┬:  lenny hide 5
┬┴┬┴┤( ͡° ͜ʖ├┬┴┬┴:  lenny hide 6
┬┴┬┴┤ ͜ʖ ͡°) ├┬┴┬┴:  lenny hide 7
┬┴┬┴┤ ͡° ͜ʖ ͡°)├┬┴┬┴:  lenny hide 8
┬┴┬┴┤ ͡ ͡° ͡°  ʖ ͡° ͡°):  lenny hide 9
(つ ♡ ͜ʖ ♡)つ:  lenny hug 1
(つ ♡ ͜ʖ ♡)つ:  lenny hug 2
⊂( ͡° ͜ʖ ͡°)⊃:  lenny hug 3
(つ ͡° ͜ʖ ͡°)つ:  lenny hug 4
(つ ͡ꈍ ͜ʖ̫ ͡ꈍ )つ:  lenny hug 5
( ͡° ͜ʖ ͡°)ノ=☆:  lenny magic 1
✩°｡⋆⸜(▀̿Ĺ̯▀̿ ̿):  lenny magic 2
(∩ ͡° ͜ʖ ͡°)⊃━☆ﾟ:  lenny magic 3
(ﾉ ͡° ͜ʖ ͡°)ﾉ*:･ﾟ✧:  lenny magic 4
╰( ͡° ͜ʖ ͡° )つ──☆*:・ﾟ:  lenny magic 5
(∩ ͡° ͜ʖ ͡°)⊃━☆─=≡Σ((( つ◕ل͜◕)つ:  lenny magic 6
( ° ͜ʖ͡°)╭∩╮:  lenny finger 1
凸( ͡° ͜ʖ ͡°):  lenny finger 2
(凸 ͡° ͜ʖ ͡°)凸:  lenny finger 3
(凸 ͡° ͜ʖ ͡°)凸:  lenny finger 4
╭∩╮(▀̿Ĺ̯▀̿ ̿)ᕗ:  lenny finger 5
( ͡° ل͟ ͡° )╭∩╮:  lenny finger 6
╭∩╮( ͡° ͜ʖ ͡°)╭∩╮:  lenny finger 7
┬┴┬┴┤ ͜ʖ ͡°)╭∩╮:  lenny finger 8
ε＝（ﾉ ͡° ͜ʖ ͡°)ﾉ:  lenny run 1
─=≡Σᕕ( ͡° ͜ʖ ͡°)ᕗ:  lenny run 2
° ͜ʖ ͡ -:  lenny wink 1
͡° ͜ʖ ͡ –:  lenny wink 2
/\/( ͡°͡° ͜ʖ ͡°͡°)\/\:  lenny spider 1
